Epoch 001/100 | Train Loss 0.8695 | Val Loss 0.7435 | Val Dice 0.8894
Epoch 002/100 | Train Loss 0.6662 | Val Loss 0.6043 | Val Dice 0.8864
Epoch 003/100 | Train Loss 0.5272 | Val Loss 0.4764 | Val Dice 0.9172
Epoch 004/100 | Train Loss 0.4133 | Val Loss 0.3676 | Val Dice 0.9298
Epoch 005/100 | Train Loss 0.3184 | Val Loss 0.2797 | Val Dice 0.9369
Epoch 006/100 | Train Loss 0.2382 | Val Loss 0.2081 | Val Dice 0.9291
Epoch 007/100 | Train Loss 0.1765 | Val Loss 0.1562 | Val Dice 0.9459
Epoch 008/100 | Train Loss 0.1322 | Val Loss 0.1218 | Val Dice 0.9443
Epoch 009/100 | Train Loss 0.1028 | Val Loss 0.1109 | Val Dice 0.9333
Epoch 010/100 | Train Loss 0.0838 | Val Loss 0.0815 | Val Dice 0.9499
Epoch 011/100 | Train Loss 0.0732 | Val Loss 0.1187 | Val Dice 0.9168
Epoch 012/100 | Train Loss 0.0673 | Val Loss 0.0657 | Val Dice 0.9508
Epoch 013/100 | Train Loss 0.0560 | Val Loss 0.0581 | Val Dice 0.9544
Epoch 014/100 | Train Loss 0.0503 | Val Loss 0.0527 | Val Dice 0.9548
Epoch 015/100 | Train Loss 0.0459 | Val Loss 0.0512 | Val Dice 0.9544
Epoch 016/100 | Train Loss 0.0428 | Val Loss 0.0451 | Val Dice 0.9588
Epoch 017/100 | Train Loss 0.0403 | Val Loss 0.0523 | Val Dice 0.9495
Epoch 018/100 | Train Loss 0.0383 | Val Loss 0.0411 | Val Dice 0.9600
Epoch 019/100 | Train Loss 0.0358 | Val Loss 0.0435 | Val Dice 0.9537
Epoch 020/100 | Train Loss 0.0345 | Val Loss 0.0382 | Val Dice 0.9610
Epoch 021/100 | Train Loss 0.0329 | Val Loss 0.0720 | Val Dice 0.9336
Epoch 022/100 | Train Loss 0.0319 | Val Loss 0.0387 | Val Dice 0.9590
Epoch 023/100 | Train Loss 0.0362 | Val Loss 0.0443 | Val Dice 0.9530
Epoch 024/100 | Train Loss 0.0325 | Val Loss 0.0363 | Val Dice 0.9604
Epoch 025/100 | Train Loss 0.0292 | Val Loss 0.0394 | Val Dice 0.9568
Epoch 026/100 | Train Loss 0.0279 | Val Loss 0.0352 | Val Dice 0.9612
Epoch 027/100 | Train Loss 0.0275 | Val Loss 0.0372 | Val Dice 0.9596
Epoch 028/100 | Train Loss 0.0266 | Val Loss 0.0369 | Val Dice 0.9587
Epoch 029/100 | Train Loss 0.0265 | Val Loss 0.0340 | Val Dice 0.9624
Epoch 030/100 | Train Loss 0.0253 | Val Loss 0.0323 | Val Dice 0.9642
Epoch 031/100 | Train Loss 0.0250 | Val Loss 0.0375 | Val Dice 0.9572
Epoch 032/100 | Train Loss 0.0247 | Val Loss 0.0343 | Val Dice 0.9615
Epoch 033/100 | Train Loss 0.0238 | Val Loss 0.0370 | Val Dice 0.9596
Epoch 034/100 | Train Loss 0.0236 | Val Loss 0.0348 | Val Dice 0.9621
Epoch 035/100 | Train Loss 0.0234 | Val Loss 0.0345 | Val Dice 0.9600
Epoch 036/100 | Train Loss 0.0232 | Val Loss 0.0498 | Val Dice 0.9515
Epoch 037/100 | Train Loss 0.0229 | Val Loss 0.0347 | Val Dice 0.9618
Epoch 038/100 | Train Loss 0.0217 | Val Loss 0.0348 | Val Dice 0.9610
Epoch 039/100 | Train Loss 0.0221 | Val Loss 0.0309 | Val Dice 0.9655
Epoch 040/100 | Train Loss 0.0220 | Val Loss 0.0353 | Val Dice 0.9620
Epoch 041/100 | Train Loss 0.0213 | Val Loss 0.0362 | Val Dice 0.9619
Epoch 042/100 | Train Loss 0.0208 | Val Loss 0.0321 | Val Dice 0.9648
Epoch 043/100 | Train Loss 0.0212 | Val Loss 0.0319 | Val Dice 0.9650
Epoch 044/100 | Train Loss 0.0208 | Val Loss 0.0302 | Val Dice 0.9661
Epoch 045/100 | Train Loss 0.0202 | Val Loss 0.0332 | Val Dice 0.9649
Epoch 046/100 | Train Loss 0.0197 | Val Loss 0.0319 | Val Dice 0.9655
Epoch 047/100 | Train Loss 0.0204 | Val Loss 0.0356 | Val Dice 0.9599
Epoch 048/100 | Train Loss 0.0199 | Val Loss 0.0383 | Val Dice 0.9572
Epoch 049/100 | Train Loss 0.0189 | Val Loss 0.0315 | Val Dice 0.9665
Epoch 050/100 | Train Loss 0.0185 | Val Loss 0.0314 | Val Dice 0.9653
Epoch 051/100 | Train Loss 0.0177 | Val Loss 0.0314 | Val Dice 0.9665
Epoch 052/100 | Train Loss 0.0180 | Val Loss 0.0319 | Val Dice 0.9660
Epoch 053/100 | Train Loss 0.0183 | Val Loss 0.0338 | Val Dice 0.9645
Epoch 054/100 | Train Loss 0.0176 | Val Loss 0.0303 | Val Dice 0.9668
Epoch 055/100 | Train Loss 0.0168 | Val Loss 0.0333 | Val Dice 0.9666
Epoch 056/100 | Train Loss 0.0170 | Val Loss 0.0296 | Val Dice 0.9679
Epoch 057/100 | Train Loss 0.0174 | Val Loss 0.0363 | Val Dice 0.9647
Epoch 058/100 | Train Loss 0.0201 | Val Loss 0.0296 | Val Dice 0.9680
Epoch 059/100 | Train Loss 0.0171 | Val Loss 0.1529 | Val Dice 0.9031
Epoch 060/100 | Train Loss 0.0246 | Val Loss 0.0333 | Val Dice 0.9651
Epoch 061/100 | Train Loss 0.0171 | Val Loss 0.0329 | Val Dice 0.9658
Epoch 062/100 | Train Loss 0.0167 | Val Loss 0.0303 | Val Dice 0.9673
Epoch 063/100 | Train Loss 0.0157 | Val Loss 0.0301 | Val Dice 0.9670
Epoch 064/100 | Train Loss 0.0153 | Val Loss 0.0305 | Val Dice 0.9689
Epoch 065/100 | Train Loss 0.0152 | Val Loss 0.0357 | Val Dice 0.9619
Epoch 066/100 | Train Loss 0.0153 | Val Loss 0.0296 | Val Dice 0.9688
Epoch 067/100 | Train Loss 0.0155 | Val Loss 0.0313 | Val Dice 0.9671
Epoch 068/100 | Train Loss 0.0154 | Val Loss 0.0320 | Val Dice 0.9679
Epoch 069/100 | Train Loss 0.0152 | Val Loss 0.0311 | Val Dice 0.9680
Epoch 070/100 | Train Loss 0.0152 | Val Loss 0.0326 | Val Dice 0.9665
Epoch 071/100 | Train Loss 0.0157 | Val Loss 0.0338 | Val Dice 0.9654
Epoch 072/100 | Train Loss 0.0151 | Val Loss 0.0337 | Val Dice 0.9637
Epoch 073/100 | Train Loss 0.0145 | Val Loss 0.0299 | Val Dice 0.9689
Epoch 074/100 | Train Loss 0.0147 | Val Loss 0.0352 | Val Dice 0.9628
Epoch 075/100 | Train Loss 0.0147 | Val Loss 0.0333 | Val Dice 0.9684
Epoch 076/100 | Train Loss 0.0140 | Val Loss 0.0317 | Val Dice 0.9684
Epoch 077/100 | Train Loss 0.0149 | Val Loss 0.0311 | Val Dice 0.9676
Epoch 078/100 | Train Loss 0.0145 | Val Loss 0.0300 | Val Dice 0.9702
Epoch 079/100 | Train Loss 0.0145 | Val Loss 0.0319 | Val Dice 0.9673
Epoch 080/100 | Train Loss 0.0143 | Val Loss 0.0303 | Val Dice 0.9685
Epoch 081/100 | Train Loss 0.0144 | Val Loss 0.0287 | Val Dice 0.9708
Epoch 082/100 | Train Loss 0.0141 | Val Loss 0.0324 | Val Dice 0.9684
Epoch 083/100 | Train Loss 0.0139 | Val Loss 0.0348 | Val Dice 0.9659
Epoch 084/100 | Train Loss 0.0143 | Val Loss 0.0327 | Val Dice 0.9681
Epoch 085/100 | Train Loss 0.0139 | Val Loss 0.0311 | Val Dice 0.9674
Epoch 086/100 | Train Loss 0.0139 | Val Loss 0.0305 | Val Dice 0.9704
Epoch 087/100 | Train Loss 0.0135 | Val Loss 0.0316 | Val Dice 0.9697
Epoch 088/100 | Train Loss 0.0137 | Val Loss 0.0329 | Val Dice 0.9686
Epoch 089/100 | Train Loss 0.0136 | Val Loss 0.0389 | Val Dice 0.9660
Epoch 090/100 | Train Loss 0.0143 | Val Loss 0.0308 | Val Dice 0.9700
Epoch 091/100 | Train Loss 0.0132 | Val Loss 0.0354 | Val Dice 0.9651
Epoch 092/100 | Train Loss 0.0129 | Val Loss 0.0315 | Val Dice 0.9696
Epoch 093/100 | Train Loss 0.0129 | Val Loss 0.0369 | Val Dice 0.9647
Epoch 094/100 | Train Loss 0.0133 | Val Loss 0.0290 | Val Dice 0.9704
Epoch 095/100 | Train Loss 0.0132 | Val Loss 0.0317 | Val Dice 0.9705
Epoch 096/100 | Train Loss 0.0131 | Val Loss 0.0322 | Val Dice 0.9695
Epoch 097/100 | Train Loss 0.0132 | Val Loss 0.0340 | Val Dice 0.9668
Epoch 098/100 | Train Loss 0.0132 | Val Loss 0.0302 | Val Dice 0.9705
Epoch 099/100 | Train Loss 0.0125 | Val Loss 0.0365 | Val Dice 0.9647
Epoch 100/100 | Train Loss 0.0124 | Val Loss 0.0319 | Val Dice 0.9694
